"V131-ID","exact authority item title","affected files/components","before state/claim","approved after state/claim","implementation status","proof files/screenshots","unresolved issue"
"V131-P0-001","REMOVE UNIVERSAL MEDICATION TIMING ADVICE","src/data/osa.json, src/components/WaveformDetectiveView.tsx","Waveform Action Plan taught fixed universal sedative rule: 'tránh uống bia rượu hoặc thuốc an thần trước giờ ngủ ít nhất 4 tiếng.'","Approved copy: 'Hạn chế rượu gần giờ ngủ. Nếu đang sử dụng thuốc ngủ, thuốc an thần hoặc thuốc có thể gây buồn ngủ, không tự ý ngừng hay thay đổi liều/thời điểm dùng; hãy trao đổi với bác sĩ hoặc dược sĩ nếu lo ngại thuốc ảnh hưởng đến hô hấp khi ngủ.' Positional advice kept phenotype-dependent.","IMPLEMENTED_AND_VERIFIED","app_screenshots_v131/waveform_action_plan_medication.png","None"
"V131-P0-002","CRANIOFACIAL CITATION IDENTIFIER REPAIR","src/data/osa.json, src/components/ModuleCView.tsx, src/components/SourceModal.tsx","Lee 2009 record had incorrect DOI: 10.1093/sleep/32.1.37","Canonical record: Lee RWW et al. Sleep. 2009;32(1):37–45. PMID: 19189777, PMCID: PMC2625322, DOI: 10.5665/sleep/32.1.37.","IMPLEMENTED_AND_VERIFIED","app_screenshots_v131/source_panel_craniofacial_2009.png","None"
"V131-P0-003","AASM DIAGNOSTIC GUIDELINE IDENTIFIER REPAIR","src/data/osa.json, src/components/SourceModal.tsx, src/components/ModuleAView.tsx","Kapur 2017 record had incorrect PMID 28380492 and PMCID PMC5337594","Canonical record: Kapur VK et al. J Clin Sleep Med. 2017;13(3):479–504. PMID: 28162150, PMCID: PMC5337595, DOI: 10.5664/jcsm.6506. Maintained PSG/HSAT evaluation claim boundary.","IMPLEMENTED_AND_VERIFIED","app_screenshots_v131/source_panel_aasm_diag_2017.png","None"
"V131-P0-004","ECKERT & MALHOTRA 2008 IDENTIFIER REPAIR","src/data/osa.json, src/components/SourceModal.tsx, src/components/ModuleCView.tsx","Eckert 2008 record had incorrect PMID 18250207 and PMCID PMC2645258","Canonical record: Eckert DJ, Malhotra A. Proc Am Thorac Soc. 2008;5(2):144–153. PMID: 18250206, PMCID: PMC2628457, DOI: 10.1513/pats.200707-114MG.","IMPLEMENTED_AND_VERIFIED","app_screenshots_v131/source_panel_eckert_2008.png","None"
"V131-P0-005","FULL VISIBLE SOURCE INVENTORY & CLOSED-WORLD EVIDENCE CHECK","visible_medical_source_inventory_v131.json, src/data/osa.json","Previous passes lacked 100% visible source inventory mapping all bibliographic fields, claims supported, and verification statuses","100% of visible medical sources (10 sources) fully inventoried with canonical metadata, claims supported, and verification status in visible_medical_source_inventory_v131.json","IMPLEMENTED_AND_VERIFIED","visible_medical_source_inventory_v131.json","None"
"V131-P1-006","FOUNDER PRO STEP 3: RESPIRATORY EFFORT PRECISION","src/data/osa.json, src/components/AnatomicalSimulator.tsx, src/components/ModuleCView.tsx","Presented thoracoabdominal paradox as obligatory for every obstructive apnea: 'và thể hiện qua chuyển động ngược chiều nghịch thường giữa ngực và bụng'","Approved copy: 'Trong ngưng thở tắc nghẽn, nỗ lực hô hấp vẫn tiếp diễn và có thể kèm chuyển động ngực–bụng nghịch thường.' Non-obligatory precision implemented across physiological detail and simulator hotspot role.","IMPLEMENTED_AND_VERIFIED","app_screenshots_v131/founder_pro_step3.png","None"
"V131-P1-007","FOUNDER PRO STEP 4: GAS-EXCHANGE PRECISION","src/data/osa.json, src/components/ModuleCView.tsx","Automatic mild respiratory acidosis claim '(toan hô hấp nhẹ)' taught as obligatory single-event outcome without pH measurement","Approved copy: 'Giảm thông khí trong một đợt tắc nghẽn có thể gây rối loạn khí máu thoáng qua, với PaO₂ giảm và PaCO₂ tăng ở mức độ khác nhau.' Removed automatic '(toan hô hấp nhẹ)'.","IMPLEMENTED_AND_VERIFIED","app_screenshots_v131/founder_pro_step4.png","None"
"V131-P1-008","FOUNDER PRO STEP 4–5: REMOVE DETERMINISTIC ARAS → GENIOGLOSSUS SWITCH","src/data/osa.json, src/components/AnatomicalSimulator.tsx, src/components/ModuleCView.tsx","Deterministic visual and textual chain implying ARAS/genioglossus is an obligatory on/off switch for reopening ('CƠ CẰM-LƯỠI CO • BẬT MỞ (GASP)') and brain hotspot stating unconditional micro-arousal","Approved visual label: 'TĂNG HOẠT ĐỘNG CƠ GIÃN ĐƯỜNG THỞ → PHỤC HỒI LUỒNG KHÍ (MÔ PHỎNG)'. Approved supporting copy: 'Luồng khí có thể phục hồi nhờ tăng respiratory drive và huy động các cơ giãn đường thở trên; cortical arousal có thể xuất hiện và tăng cường đáp ứng nhưng không bắt buộc ở mọi sự kiện.' Updated brain hotspot role to non-obligatory arousal.","IMPLEMENTED_AND_VERIFIED","app_screenshots_v131/founder_pro_step5.png, app_screenshots_v131/anatomical_simulator_step5_reopening.png","None"
"V131-P1-009","REMOVE UNSUPPORTED AUTHORITY BRANDING / INTERNAL-RULE AMBIGUITY","src/components/HomeView.tsx, src/components/KnowledgeHubView.tsx, src/components/WaveformDetectiveView.tsx","Unsupported 'WHO' and 'AASM & WHO' references in HomeView and KnowledgeHubView; ambiguous 'AASM / CMC-09' badge in WaveformDetectiveView and KnowledgeHubView","Removed all unsupported WHO attributions. Disambiguated internal rule to approved label: 'O2Sense Medical Rule CMC-09' with secondary text 'Aligned with AASM diagnostic guidance'.","IMPLEMENTED_AND_VERIFIED","app_screenshots_v131/home_pillar3_aasm.png, app_screenshots_v131/waveform_cmc09_badge.png, app_screenshots_v131/knowledge_hub_overview.png, app_screenshots_v131/knowledge_hub_differential_cmc09.png","None"
"V131-P1-010","REMOVE UNIVERSAL “3–5 NIGHTS” RULE","src/components/WaveformDetectiveView.tsx, src/types/disease.ts, src/data/osa.json","Taught generic 'Theo dõi khoa học 3-5 đêm:' as universal clinical threshold","Replaced universal threshold with approved heading 'Theo dõi khoa học nhiều đêm:' and exact verbatim approved copy: 'Nếu theo dõi xu hướng tại nhà, nhiều đêm có thể cung cấp bối cảnh tốt hơn một đêm đơn lẻ vì chỉ số hô hấp/SpO₂ có thể thay đổi giữa các đêm. Dữ liệu wearable không tự xác nhận hoặc loại trừ OSA.'","IMPLEMENTED_AND_VERIFIED","app_screenshots_v131/waveform_action_plan_monitoring.png","None"
