"V13-ID","exact delta title","affected file/component","before claim","approved after claim","implementation status","proof screenshot IDs","unresolved issue"
"V13-P0-001","Founder Pro — Capture the Actual Pro Medical State","src/components/ModuleCView.tsx, src/App.tsx, src/data/osa.json","Global Founder Mode showed Header in Founder but internal panel remained in Public layman copy","explanationMode auto-synchronized with userMode ('founder' -> 'expert'); DOM asserts Pro panel visible and Layman absent with step-specific physiology text","IMPLEMENTED_AND_VERIFIED","founder_pro_step1.png, founder_pro_step2.png, founder_pro_step3.png, founder_pro_step4.png, founder_pro_step5.png","None"
"V13-P0-002","3D Anatomy Pins — Verify Visible Popup Not Hidden DOM","src/components/AnatomyScene3D.tsx","Pins existed in 3D scene but popup state was not asserted or visible in screenshots","All 6 landmark pins (nose palate tongue mandible airway trachea) equipped with data-pin-id and data-testid; popup card verified with non-zero bounding box and approved anatomical role text","IMPLEMENTED_AND_VERIFIED","pin_3d_nose.png, pin_3d_palate.png, pin_3d_tongue.png, pin_3d_mandible.png, pin_3d_airway.png, pin_3d_trachea.png","None"
"V13-P0-003","Quick Review — Capture Medical Answer/Explanation","src/components/QuickReviewModal.tsx","Cards were randomized and only question front was proven in prior captures","Deterministic review mode implemented; cards 1-4 assert front and flipped fallacy/why; scenario card asserts question prompt and feedback/rationale for options 1 2 and 3","IMPLEMENTED_AND_VERIFIED","quick_review_card1_front.png, quick_review_card1_answer.png, quick_review_card2_front.png, quick_review_card2_answer.png, quick_review_card3_front.png, quick_review_card3_answer.png, quick_review_card4_front.png, quick_review_card4_answer.png, quick_review_scenario_question.png, quick_review_scenario_opt1.png, quick_review_scenario_opt2.png, quick_review_scenario_opt3.png","None"
"V13-P0-004","Knowledge Hub — Symptoms Tab Rewrite","src/components/KnowledgeHubView.tsx, src/data/osa.json","Deterministic single-cause mechanisms (e.g. gasping always from arousal; nocturia always from ANP; headache always from CO2)","Multi-factorial architecture: SYMPTOM -> POSSIBLE MECHANISMS -> LIMITATION/NON-SPECIFIC; renders both Approved Public and Approved Pro copy","IMPLEMENTED_AND_VERIFIED","knowledge_hub_symptoms_tab.png","None"
"V13-P0-005","Citation Records — Canonical Corrections","src/types/disease.ts, src/components/SourceModal.tsx, src/data/osa.json","Synthetic/unverified bibliographic records (e.g. Kohler 2014 in Lancet Resp Med; improper citations)","Canonical verified records for MOSAIC RCT (Craig 2012 Thorax PMID 23111478) Women OSA (Wimms 2016 BioMed Res Int PMID 27699167) Craniofacial (Lee 2009 Sleep PMID 19189777) COPD Overlap (Owens 2010 Respir Care PMID 20875160)","IMPLEMENTED_AND_VERIFIED","source_panel_mosaic.png, source_panel_women.png, source_panel_craniofacial.png, source_panel_overlap.png","None"
"V13-P0-006","Somers 1995 — Source Claim Fidelity","src/data/osa.json, src/components/SourceModal.tsx","Attributed direct per-event catecholamine measurement and fixed heart-rate sequence to Somers 1995","Canonical record (Somers 1995 JCI PMID 7560081) with summary restricted to sympathetic nerve activity increase during apnea and marked blood pressure rise around termination","IMPLEMENTED_AND_VERIFIED","source_panel_somers.png","None"
"V13-P0-007","Source Panel Quality Gate","src/types/disease.ts, src/components/SourceModal.tsx","Source modal lacked structured fields for authors journal volume/pages identifiers evidence type and supported claims","Full canonical fields rendered: authors journal volume/pages PMID PMCID DOI evidenceType badge and exact supported claims list","IMPLEMENTED_AND_VERIFIED","source_panel_mosaic.png, source_panel_women.png, source_panel_craniofacial.png, source_panel_overlap.png, source_panel_somers.png","None"
"V13-P1-008","Glossary / Small Medical Wording Cleanup","src/data/osa.json, src/components/GlossaryModal.tsx","AHI claimed ""tac hoan toan""; Soft palate claimed ""hut sap vao thanh hong""; CPAP claimed ""thanh hong cang phong""; EDS claimed ""trieu chung quan trong nhat""; PI claimed arbitrary cutoff","All 5 definitions updated to approved copy adhering strictly to AASM scoring definition mobile tissue vibration pneumatic splint distinct EDS/fatigue construct and device guidance","IMPLEMENTED_AND_VERIFIED","glossary_modal_ahi.png, glossary_modal_soft_palate.png, glossary_modal_cpap.png, glossary_modal_eds.png, glossary_modal_perfusion_index.png","None"
"V13-P1-009","O2Ring / PPG Device-Specific Claims Neutralization","src/data/osa.json, src/components/HomeView.tsx, src/components/KnowledgeHubView.tsx","Unverified 660nm/940nm claims and unsubstantiated ring-superior-to-wrist accuracy claims","Removed 660/940nm claims; generalized to optical pulse-oximetry education; removed device superiority claims; noted device-dependent wavelengths and geometry","IMPLEMENTED_AND_VERIFIED","knowledge_hub_ppg_sensor.png","None"
"V13-P1-010","Cardiovascular Outcome Wording Neutralization","src/data/osa.json, src/components/KnowledgeHubView.tsx","Cardiovascular reversal guarantees (""Co the hoi phuc khi dieu tri som"" ""Giam tai phat roi loan nhip"")","Nuanced wording: multi-pathway associations without outcome guarantees; treatment benefit framed as individualized and adherence-dependent","IMPLEMENTED_AND_VERIFIED","knowledge_hub_cardiovascular.png","None"
