Change_ID,Priority,Component_File,Exact_Line_Range,State_ID_Impacted,Screenshot_Filename,Medical_Issue_Summary,Corrective_Action_Taken,Physician_Review_Status
V12-P0-001,P0,src/components/Header.tsx,L48-L53,home_public_light,001_home_public_light.png,Public educational disclaimer banner positioning and non-diagnostic clarification,Maintained persistent medical education disclaimer in Header component clarifying informational non-diagnostic scope,PENDING_AUDIT
V12-P0-002,P0,src/components/Header.tsx,L144-L164,home_founder_pro,002_home_founder_pro.png,Mode selector label clarity between standard and in-depth clinician view,Verified non-diagnostic dual-mode toggle labeling (Mode: Founder vs Mode: Đại chúng) avoiding clinical endorsement claims,PENDING_AUDIT
V12-P0-003,P0,src/components/Header.tsx,L175-L182,home_dark_mode,003_home_dark_mode.png,Direct physician access and eye-care night mode accessibility,Eye-care midnight navy theme with high-contrast medical legibility and audit readiness,PENDING_AUDIT
V12-P0-004,P0,"src/data/osa.json; src/components/KnowledgeHubView.tsx; src/data/helpCenterData.ts","osa.json:L864,L978; KnowledgeHubView.tsx:L415; helpCenterData.ts:L188-191","khub_ppg_sensor; glossary_term_circulation_delay; help_handbook_overview","035_khub_ppg_sensor.png; 086_glossary_term_circulation_delay.png; 107_help_handbook_overview.png",Rigid 15-30s circulation delay formula presented as universal physiological constant,"Removed 15-30s rule; replaced with physiological lung-to-finger circulation time (LFCT) framing influenced by cardiac output, stroke volume, and arterial distance",PENDING_AUDIT
V12-P1-005,P1,src/data/osa.json,osa.json:L933,glossary_term_spo2,081_glossary_term_spo2.png,Inaccurate SpO2 threshold framing presenting SpO2 < 90% as universal emergency cutoff rather than nocturnal hypoxemia metric,Contextualized SpO2 < 90% in nocturnal monitoring as cumulative hypoxemia burden (T90 metric) rather than acute emergency threshold,PENDING_AUDIT
V12-P1-006,P1,src/data/osa.json,"osa.json:L810,L906","khub_symptoms; glossary_term_arousal; glossary_term_eds","033_khub_symptoms.png; 078_glossary_term_arousal.png; 091_glossary_term_eds.png",Unqualified 3-15s arousal duration presenting EEG micro-arousals as simple waking events,"Removed 3-15s rule; defined micro-arousal strictly by AASM EEG criteria (>=3s shift) and explicitly separated from macro-awakenings",PENDING_AUDIT
V12-P1-007,P1,src/data/osa.json,osa.json:L915,glossary_term_chemoreceptors,079_glossary_term_chemoreceptors.png,Conflation of Carotid Body (chemoreceptors) and Carotid Sinus (baroreceptors) in autonomic reflex explanation,Explicitly distinguished carotid body (PaO2/PaCO2/pH chemoreceptor) from carotid sinus (stretch/blood pressure baroreceptor),PENDING_AUDIT
V12-P1-008,P1,src/data/osa.json,osa.json:L959,glossary_term_anp,084_glossary_term_anp.png,Teleological and oversimplified claim attributing nocturia purely to atrial stretch and ANP dump,"Removed hyperbolic metaphor; explained multifactorial nocturia involving negative intrathoracic pressure, ANP release, and sleep fragmentation",PENDING_AUDIT
V12-P1-009,P1,src/data/osa.json,"osa.json:L645,L987","wave_sawtooth; glossary_term_positional_therapy","028_wave_sawtooth.png; 087_glossary_term_positional_therapy.png",Overgeneralized sleep position claims suggesting side-sleeping is a universal cure for all OSA severities,Restricted positional therapy indications strictly to position-dependent OSA (POSA) and mild-moderate phenotypes,PENDING_AUDIT
V12-P1-010,P1,"src/data/osa.json; src/components/KnowledgeHubView.tsx","osa.json:L865; KnowledgeHubView.tsx:L426",khub_ppg_sensor,035_khub_ppg_sensor.png,Aggressive marketing and commercial bias claiming smart rings are definitively superior to medical wrist sensors,Replaced commercial bias with physiological comparison of digital arteries vs radial artery perfusion and motion artifact susceptibility,PENDING_AUDIT
V12-P1-011,P1,src/data/osa.json,osa.json:L119,"myth_trap2_front; myth_trap2_back","039_myth_trap2_front.png; 040_myth_trap2_back.png",Unsupported statistical claims regarding snoring prevalence (80-90% vs 30-40% / 50% men) without source stratification,Aligned snoring epidemiology with canonical reference data on benign snoring vs obstructive hypopnea/apnea,PENDING_AUDIT
V12-P1-012,P1,src/data/osa.json,osa.json:L146,"myth_trap4_front; myth_trap4_back","043_myth_trap4_front.png; 044_myth_trap4_back.png",Rigid definition stating minimally symptomatic OSA is defined as AHI > 30 and ESS < 10,Clarified that minimally symptomatic / asymptomatic OSA exists across severity spectrum and ESS score does not correlate linearly with AHI,PENDING_AUDIT
V12-P1-013,P1,"src/components/AnatomicalSimulator.tsx; src/components/ModuleCView.tsx; src/data/helpCenterData.ts","AnatomicalSimulator.tsx:L445,L585; ModuleCView.tsx:L162; helpCenterData.ts:L190","anim2d_step3_public; anim2d_step3_pro; 3d_step3_collapse; help_handbook_overview","006_anim2d_step3_public.png; 011_anim2d_step3_pro.png; 015_3d_step3_collapse.png; 107_help_handbook_overview.png",Rigid 100% (0.0mm) airway obstruction claim in functional apnea simulation misleading users on anatomical vs functional closure,Replaced absolute 100% (0.0mm) with qualitative functional collapse notation (Tắc nghẽn chức năng Mô phỏng),PENDING_AUDIT
V12-P0-014,P0,"capture_all_screens_v12.cjs; screenshot_manifest_v12.json",Full automation suite,ALL_107_STATES,001_home_public_light.png through 107_help_handbook_overview.png,Automated screenshot integrity requiring 100% positive semantic DOM state assertions before pixel capture,Built positive DOM assertion framework matching every state ID to verified DOM selectors and expected labels prior to screenshot capture,PENDING_AUDIT
